Rank,Country name,Regional indicator,Happiness score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Year,Dystopia + residual,upperwhisker,lowerwhisker,Logged GDP per capita,Generosity,Freedom to make life choices,Healthy life expectancy,Social support,Perceptions of corruption,Ladder score in Dystopia,Dystopia
1,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019,,,,,,,,,,,
2,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019,,,,,,,,,,,
3,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019,,,,,,,,,,,
6,Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,,,,,,,,,,,
4,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,,,,,,,,,,,
5,Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019,,,,,,,,,,,
7,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019,,,,,,,,,,,
8,New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019,,,,,,,,,,,
9,Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019,,,,,,,,,,,
10,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,,,,,,,,,,,
14,Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019,,,,,,,,,,,
11,Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019,,,,,,,,,,,
12,Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019,,,,,,,,,,,
13,Israel,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019,,,,,,,,,,,
15,United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019,,,,,,,,,,,
16,Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019,,,,,,,,,,,
17,Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019,,,,,,,,,,,
18,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,,,,,,,,,,,
19,United States,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019,,,,,,,,,,,
20,Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019,,,,,,,,,,,
21,United Arab Emirates,Middle East and North Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019,,,,,,,,,,,
22,Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019,,,,,,,,,,,
23,Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019,,,,,,,,,,,
24,France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019,,,,,,,,,,,
26,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019,,,,,,,,,,,
33,Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019,,,,,,,,,,,
27,Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019,,,,,,,,,,,
28,Saudi Arabia,Middle East and North Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019,,,,,,,,,,,
30,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019,,,,,,,,,,,
36,Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019,,,,,,,,,,,
31,Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019,,,,,,,,,,,
34,Singapore,Southeast Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019,,,,,,,,,,,
32,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,,,,,,,,,,,
44,Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019,,,,,,,,,,,
35,El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019,,,,,,,,,,,
46,Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019,,,,,,,,,,,
37,Bahrain,Middle East and North Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019,,,,,,,,,,,
38,Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019,,,,,,,,,,,
41,Uzbekistan,Commonwealth of Independent States,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019,,,,,,,,,,,
40,Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019,,,,,,,,,,,
42,Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019,,,,,,,,,,,
43,Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,,,,,,,,,,,
45,Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2019,,,,,,,,,,,
49,Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019,,,,,,,,,,,
47,Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019,,,,,,,,,,,
48,Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019,,,,,,,,,,,
51,Kuwait,Middle East and North Africa,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019,,,,,,,,,,,
57,Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019,,,,,,,,,,,
50,Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019,,,,,,,,,,,
60,Kazakhstan,Commonwealth of Independent States,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019,,,,,,,,,,,
55,Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019,,,,,,,,,,,
52,Thailand,Southeast Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019,,,,,,,,,,,
69,Philippines,Southeast Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019,,,,,,,,,,,
53,Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019,,,,,,,,,,,
62,Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019,,,,,,,,,,,
54,South Korea,East Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019,,,,,,,,,,,
56,Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019,,,,,,,,,,,
59,Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019,,,,,,,,,,,
58,Japan,East Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,,,,,,,,,,,
66,Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019,,,,,,,,,,,
61,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019,,,,,,,,,,,
63,Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019,,,,,,,,,,,
65,Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019,,,,,,,,,,,
70,Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019,,,,,,,,,,,
67,Pakistan,South Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019,,,,,,,,,,,
68,Russia,Commonwealth of Independent States,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019,,,,,,,,,,,
77,Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019,,,,,,,,,,,
78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,,,,,,,,,,,
71,Moldova,Commonwealth of Independent States,5.529,0.685,1.328,0.739,0.245,0.181,0,2019,,,,,,,,,,,
74,Tajikistan,Commonwealth of Independent States,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019,,,,,,,,,,,
72,Libya,Middle East and North Africa,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019,,,,,,,,,,,
73,Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019,,,,,,,,,,,
86,Kyrgyzstan,Commonwealth of Independent States,5.261,0.551,1.438,0.723,0.508,0.3,0.023,2019,,,,,,,,,,,
75,Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,,,,,,,,,,,
81,Belarus,Commonwealth of Independent States,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019,,,,,,,,,,,
82,Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0,0.034,2019,,,,,,,,,,,
79,Turkey,Middle East and North Africa,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019,,,,,,,,,,,
80,Malaysia,Southeast Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019,,,,,,,,,,,
83,Mongolia,East Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,,,,,,,,,,,
94,Vietnam,Southeast Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019,,,,,,,,,,,
92,Indonesia,Southeast Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019,,,,,,,,,,,
85,Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019,,,,,,,,,,,
99,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019,,,,,,,,,,,
102,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019,,,,,,,,,,,
87,Turkmenistan,Commonwealth of Independent States,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019,,,,,,,,,,,
88,Algeria,Middle East and North Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,,,,,,,,,,,
103,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019,,,,,,,,,,,
89,Morocco,Middle East and North Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019,,,,,,,,,,,
90,Azerbaijan,Commonwealth of Independent States,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,,,,,,,,,,,
91,Lebanon,Middle East and North Africa,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019,,,,,,,,,,,
98,Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,,,,,,,,,,,
100,Nepal,South Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019,,,,,,,,,,,
93,China,East Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019,,,,,,,,,,,
96,Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019,,,,,,,,,,,
97,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019,,,,,,,,,,,
108,Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019,,,,,,,,,,,
101,Jordan,Middle East and North Africa,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019,,,,,,,,,,,
111,Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019,,,,,,,,,,,
118,Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019,,,,,,,,,,,
114,Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019,,,,,,,,,,,
104,Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019,,,,,,,,,,,
105,Laos,Southeast Asia,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019,,,,,,,,,,,
107,Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,,,,,,,,,,,
106,South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019,,,,,,,,,,,
109,Cambodia,Southeast Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019,,,,,,,,,,,
125,Bangladesh,South Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019,,,,,,,,,,,
110,Palestinian Territories,Middle East and North Africa,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019,,,,,,,,,,,
126,Iraq,Middle East and North Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019,,,,,,,,,,,
115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019,,,,,,,,,,,
113,Namibia,Sub-Saharan Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2019,,,,,,,,,,,
120,Gambia,Sub-Saharan Africa,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019,,,,,,,,,,,
128,Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019,,,,,,,,,,,
116,Armenia,Commonwealth of Independent States,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019,,,,,,,,,,,
117,Iran,Middle East and North Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019,,,,,,,,,,,
119,Georgia,Commonwealth of Independent States,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019,,,,,,,,,,,
